,Name,Location,Telephone
136,SULTANGAZİ İTFAİYE İSTASYONU,Esentepe Mah. 2942 Sk. Tuz Deposu Yanı Sultangazi / ISTANBUL,T. 0 (212) 419 07 35
137,ŞİLE İTFAİYE İSTASYONU,Balibey Mah. Ağlayankaya Cad. No:1 Şile/İSTANBUL,T. 0 (216) 710 22 77
138,ŞİŞLİ İTFAİYE İSTASYONU,Halil Rıfat Paşa Mah. Taşkızak Cad. No:3 Okmeydanı Şişli/İSTANBUL,T. 0 (212)  210 69 78
139,TEKE MAHALLESİ GÖNÜLLÜ İTFAİYE İSTASYONU,Teke Mahallesi / ŞİLE,T. 0 (538) 314 99 32
140,TURGUTREİS İTFAİYE İSTASYONU,Oruç Reis Mah. Ipekyolu Cad. Tekstilkent Yanı Esenler/ISTANBUL,T. 0 (212) 438 54 92
141,TUZLA İTFAİYE İSTASYONU,Aydıntepe Mah. Marmara Cad.  No:2 Tuzla/İSTANBUL,T. 0 (216) 493 10 02
142,TUZLA OSB İTFAİYE İSTASYONU,Aydınlı Mh. Boya Vernikciler San. Sit. No:4 Tuzla/ISTANBUL,T. 0 (216) 593 26 68
143,TUZLA SAHİL İTFAİYE İSTASYONU,Cami Mh. Şehitler Cad. Tuzla/ISTANBUL,T. 0 (216) 701 18 31
144,UZUNKUM PLAJI,Uzunkum Plajı / ŞİLE,T. 
145,ÜMRANİYE İTFAİYE İSTASYONU,Çakmak Mah. Varan Cad. No:2 Ümraniye,T. 0 (216) 314 70 27
146,ÜNALAN İTFAİYE İSTASYONU,Ünalan Mah. Libadiye Cd. Abdurrahman Soyak Cami Yanı No:72 Üsküdar/ISTANBUL,T. 0 (216) 315 96 27
147,ÜSKÜDAR İTFAİYE İSTASYONU,Aziz Mahmut Hüdai Mah. Sümbülzade Sk. No:42 Üsküdar/İSTANBUL,T. 0 (216) 553 03 61
148,YAKACIK İTFAİYE İSTASYONU,Uğur Mumcu Mah. Samandıra cd. Tem Bağlantı Yolu Çıkışı No:157 Kartal/ISTANBUL,T. 0 (216) 475 10 44
149,YAKUPLU İTFAİYE İSTASYONU,Yakuplu Mah. Manolya Cad. Bakırcılar - Pirinççiler San. Sit. Beylikdüzü/ISTANBUL,T. 0 (212) 876 12 96
150,YALIKÖY MAHALLESİ GÖNÜLLÜ TFAİYE İSTASYONU,Yalıköy Mahallesi / ÇATALCA,T. 0 (535) 848 05 05
151,YALIKÖY PLAJI,Yalıköy / ÇATALCA,T. 
152,YAVUZ SULTAN SELİM İSTASYONU,Kuzey Marmara Otoyolu Uskumruköy Kavşağı Uskumruköy Gişeleri Yanı Sarıyer,T. 0 (212) 242 18 61
153,YENİDOĞAN İTFAİYE İSTASYONU,Yunusemre Mah. Barbaros Bulvarı No:6 Yenidoğan Sancaktepe/İSTANBUL,T. 0 (216) 484 58 52
154,YENİKAPI ŞEHİT TANER ÇEBİ KARA VE DENİZ İTFAİYE İSTASYONU,Aksaray Mah. Kennedy Cad. No:9/5 Fatih-İSTANBUL,T. 0212 402 83 38
155,YENİKÖY PLAJI,Yeniköy / ARNAVUTKÖY,T. 
156,YENİMAHALLE İTFAİYE İSTASYONU,Cennet Mah. Mimarsinan Cad. Behiye Selim Pars I.Ö.O Yanı Küçükçekmece/ ISTANBUL,T. 0 (212) 599 55 60
157,YENİŞEHİR İTFAİYE İSTASYONU,Yenişehir Mah. Dedepaşa Cad. Begonya Sk. No:4 Pendik/ISTANBUL,T. 0 (216) 482 66 17
158,ZEYNEP KAMİL İTFAİYE İSTASYONU,Zeynep Kamil Mh. Dr. Burhanettin Üstünel Sk. No:2 Üsküdar/ISTANBUL,T. 0 (216) 310 88 95
159,ZEYTİNBURNU İTFAİYE İSTASYONU,Kazlıçeşme Mah. Zübeydehanım Cad. No:4 Zeytinburnu / ISTANBUL,T. 0 (212) 679 35 08
